172.19.0.4 - - [10/Apr/2020:12:21:51 +0200] "GET / HTTP/1.0" 200 17 "https://google.com" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; SE 2.x)"
172.19.0.4 - - [10/Apr/2020:12:21:51 +0200] "GET / HTTP/1.0" 200 17 "https://google.com" "Mozilla/5.0 (Linux; U; Android 4.0.4; en-us; Glass 1 Build/IMM76L; XE16.2) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
172.19.0.4 - - [10/Apr/2020:12:21:51 +0200] "GET /iuubm HTTP/1.0" 404 555 "https://google.com" "Mozilla/5.0 (Linux; Android 7.0; LGL84VL Build/NRD90U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.81 Mobile Safari/537.36"
172.19.0.4 - - [10/Apr/2020:12:21:51 +0200] "GET / HTTP/1.0" 200 17 "-" "Mozilla/4.0 (compatible; MSIE 8.0; AOL 9.5; AOLBuild 4337.5400; Windows NT 5.1; Trident/4.0; GTB5; .NET CLR 1.1.4322; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; BRI/1; .NET4.0C; .NET CLR 2.0.50727; McAfee)"
172.19.0.4 - - [10/Apr/2020:12:21:51 +0200] "GET /wgook HTTP/1.0" 404 555 "-" "Mozilla/5.0 (Linux; Android 7.1.2; ZTE-Z999 Build/N2G47H) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.137 Mobile Safari/537.36"
172.19.0.4 - - [10/Apr/2020:12:21:52 +0200] "GET / HTTP/1.0" 200 17 "https://google.com" "SAMSUNG-GT-E2220/E2220XWKH2 NetFront/4.1 Profile/MIDP-2.0 Configuration/CLDC-1.1"
172.19.0.4 - - [10/Apr/2020:12:21:52 +0200] "GET /jeqiz HTTP/1.0" 404 555 "-" "Mozilla/4.0 (compatible; MSIE 8.0; AOL 9.5; AOLBuild 4337.5400; Windows NT 5.1; Trident/4.0; GTB5; .NET CLR 1.1.4322; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; BRI/1; .NET4.0C; .NET CLR 2.0.50727; McAfee)"
172.19.0.4 - - [10/Apr/2020:12:21:52 +0200] "GET /wqoex HTTP/1.0" 404 153 "https://google.com" "Mozilla/5.0 (Linux; U; Android 4.1.2; en-us; SGH-T999N Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
172.19.0.4 - - [10/Apr/2020:12:21:52 +0200] "GET / HTTP/1.0" 200 17 "https://google.com" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Win64; x64; Trident/7.0; .NET CLR 2.0.50727; SLCC2; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; Tablet PC 2.0; .NET4.0C; .NET4.0E; MALC)"
172.19.0.4 - - [10/Apr/2020:12:21:52 +0200] "GET / HTTP/1.0" 200 17 "https://google.com" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2; .NET4.0C; .NET4.0E; BRI/2; 360SE)"
172.19.0.4 - - [10/Apr/2020:12:21:53 +0200] "GET / HTTP/1.0" 200 17 "https://google.com" "Mozilla/5.0 (Linux; Android 4.4.2; SM-T210R Build/KOT49H) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.92 Safari/537.36"
172.19.0.4 - - [10/Apr/2020:12:21:53 +0200] "GET /jpyss HTTP/1.0" 404 153 "https://google.com" "Mozilla/5.0 (Windows NT 5.1; rv:44.0) Gecko/20100101 Firefox/44.0 Light/44.0"
172.19.0.4 - - [10/Apr/2020:12:21:53 +0200] "GET / HTTP/1.0" 200 17 "https://google.com" "Mozilla/5.0 (Linux; Android 7.0; LGL84VL Build/NRD90U; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/69.0.3497.100 Mobile Safari/537.36"
